tarih;gün;seri;ders;başlık;kanca;kitle;şablon;hassas;kesinlik;mevsim;ruh hali;ışık;gün batımı;gün türü;IG saat;TikTok saat;YT saat;IG etiket;TikTok etiket;YT etiket;YKS kalan;LGS kalan
2027-03-12;Cum;Doğru Bilinen Yanlışlar;;Uyku kaybıdır;Uyku, ezberin kaydedildiği saattir.;öğrenci;efsane-gercek;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:44;18:44;tatil;21:30;22:30;20:30;#yks2027 #yks #dersçalışma #doğrubilinenyanlışlar #eğitimkoçluğu;#yks2027 #yks #dersçalışma #doğrubilinenyanlışlar #keşfet;#yks2027 #dersçalışma #Shorts;99;93
2027-03-13;Cmt;Deneme Günü;;Deneme sonrası ödül;Deneme bitince 1 saat tamamen boş. Hak ettin.;öğrenci;kart-liste;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:45;18:45;tatil;21:30;22:30;20:30;#yks2027 #yks #denemesınavı #netartırma #eğitimkoçluğu;#yks2027 #yks #denemesınavı #netartırma #keşfet;#yks2027 #denemesınavı #Shorts;98;92
2027-03-14;Paz;Pazar Akşamı;;Kendini affet;Bu hafta yapmadıkların için kendini affet. Yarın var.;öğrenci;tek-cumle;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:45;18:45;tatil;21:30;22:30;20:30;#yks2027 #yks #motivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #motivasyon #sınavkaygısı #keşfet;#yks2027 #motivasyon #Shorts;97;91
2027-03-15;Pzt;Haftanın Planı;;Kırmızı kutular;Yapılmayan iş silinmez. Taşınır ya da küçülür.;öğrenci;kart-liste;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:46;18:46;okul;20:30;21:30;19:30;#yks2027 #yks #verimliçalışma #çalışmaplanı #eğitimkoçluğu;#yks2027 #yks #verimliçalışma #çalışmaplanı #keşfet;#yks2027 #verimliçalışma #Shorts;96;90
2027-03-16;Sal;Ders Taktiği;Felsefe;Filozof–kavram eşlemesi;Felsefede kavramı filozofun ağzından cümleyle ezberle.;öğrenci;soru-cozum;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:47;18:47;okul;20:30;21:30;19:30;#yks2027 #yks #felsefe #derstaktikleri #eğitimkoçluğu;#yks2027 #yks #felsefe #derstaktikleri #keşfet;#yks2027 #felsefe #Shorts;95;89
2027-03-17;Çar;Aynı Hafta;;Dershane mi, evden mi;Arkadaşlar etüde gidiyor. Ben de gitmeli miyim?;öğrenci;yazisma;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:48;18:48;okul;20:30;21:30;19:30;#yks2027 #yks #sınavstresi #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #sınavstresi #yksmotivasyon #keşfet;#yks2027 #sınavstresi #Shorts;94;88
2027-03-18;Per;Veli Köşesi;;Hedef konuşması;Çocuğunuzun hedefi mi, sizin hedefiniz mi?;veli;kart-veli;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:49;18:49;veli;21:00;20:30;20:00;#yks2027 #lgs #sınavyılı #mersin #eğitimkoçluğu;#yks2027 #lgs #sınavyılı #mersin #keşfet;#yks2027 #sınavyılı #Shorts;93;87
2027-03-19;Cum;Doğru Bilinen Yanlışlar;;Sosyal hayat bitmeli;Arkadaşsız bir yıl, verimli bir yıl değil.;öğrenci;efsane-gercek;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:50;18:50;okul;20:30;21:30;19:30;#yks2027 #yks #doğrubilinenyanlışlar #çalışmayöntemleri #eğitimkoçluğu;#yks2027 #yks #doğrubilinenyanlışlar #çalışmayöntemleri #keşfet;#yks2027 #doğrubilinenyanlışlar #Shorts;92;86
2027-03-20;Cmt;Deneme Günü;;Zor deneme;Deneme zordu. Herkes için zordu.;öğrenci;kart-liste;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:51;18:51;cumartesi;13:00;14:30;12:30;#yks2027 #yks #netartırma #tytdeneme #eğitimkoçluğu;#yks2027 #yks #netartırma #tytdeneme #keşfet;#yks2027 #netartırma #Shorts;91;85
2027-03-21;Paz;Özel Gün;;Gün geceyi geçti;Bugünden sonra gündüz geceden uzun. Işık senden yana.;öğrenci;tek-cumle;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:52;18:52;pazar;20:00;21:00;19:00;#yks2027 #yks #öğrenci #yks #eğitimkoçluğu;#yks2027 #yks #öğrenci #yks #keşfet;#yks2027 #öğrenci #Shorts;90;84
2027-03-22;Pzt;Haftanın Planı;;Sabah 20 dakika;Okuldan önce 20 dakika paragraf. Günün en kolay kazancı.;öğrenci;kart-liste;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:53;18:53;okul;20:30;21:30;19:30;#yks2027 #yks #çalışmaplanı #planlıçalışma #eğitimkoçluğu;#yks2027 #yks #çalışmaplanı #planlıçalışma #keşfet;#yks2027 #çalışmaplanı #Shorts;89;83
2027-03-23;Sal;Ders Taktiği;AYT Matematik;Limitte belirsizlik;0/0 gördüysen çarpanlara ayır. İlk refleks bu.;öğrenci;soru-cozum;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:54;18:54;okul;20:30;21:30;19:30;#yks2027 #yks #matematik #tytkampı #eğitimkoçluğu;#yks2027 #yks #matematik #tytkampı #keşfet;#yks2027 #matematik #Shorts;88;82
2027-03-24;Çar;Aynı Hafta;;Hafta sonu kaçtı;Hafta sonu hiç çalışmadım, pazartesi utanıyorum.;öğrenci;yazisma;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:54;18:54;okul;20:30;21:30;19:30;#yks2027 #yks #yksmotivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #sınavkaygısı #keşfet;#yks2027 #yksmotivasyon #Shorts;87;81
2027-03-25;Per;Veli Köşesi;;Kötü gün;Çocuğunuz ‘bugün hiç çalışmadım’ dedi. Ne diyeceksiniz?;veli;kart-veli;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:55;18:55;veli;21:00;20:30;20:00;#yks2027 #lgs #ebeveyn #mersin #eğitimkoçluğu;#yks2027 #lgs #ebeveyn #mersin #keşfet;#yks2027 #ebeveyn #Shorts;86;80
2027-03-26;Cum;Doğru Bilinen Yanlışlar;;Paragraf yeteneğe bağlı;Paragraf yetenek değil, antrenman.;öğrenci;efsane-gercek;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:56;18:56;okul;20:30;21:30;19:30;#yks2027 #yks #çalışmayöntemleri #bilgi #eğitimkoçluğu;#yks2027 #yks #çalışmayöntemleri #bilgi #keşfet;#yks2027 #çalışmayöntemleri #Shorts;85;79
2027-03-27;Cmt;Deneme Günü;;Paragraf süresi;Denemede paragrafa kaç dakika ayırdın? Ölç.;öğrenci;kart-liste;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:57;18:57;cumartesi;13:00;14:30;12:30;#yks2027 #yks #tytdeneme #denemeanalizi #eğitimkoçluğu;#yks2027 #yks #tytdeneme #denemeanalizi #keşfet;#yks2027 #tytdeneme #Shorts;84;78
2027-03-28;Paz;Pazar Akşamı;;Plan hazırlığı;Yarının ilk işini bu akşam belirle.;öğrenci;tek-cumle;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:58;18:58;pazar;20:00;21:00;19:00;#yks2027 #yks #pazarakşamı #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #pazarakşamı #yksmotivasyon #keşfet;#yks2027 #pazarakşamı #Shorts;83;77
2027-03-29;Pzt;Haftanın Planı;;Yatmadan 10 dakika;Yatmadan önce 10 dakika: bugün yanlış yaptığın 3 soru.;öğrenci;kart-liste;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 18:59;18:59;okul;20:30;21:30;19:30;#yks2027 #yks #planlıçalışma #zamanyönetimi #eğitimkoçluğu;#yks2027 #yks #planlıçalışma #zamanyönetimi #keşfet;#yks2027 #planlıçalışma #Shorts;82;76
2027-03-30;Sal;Ders Taktiği;LGS Türkçe;Grafik yorumlama;Grafik sorusunda önce eksenleri oku, sonra çizgiyi.;öğrenci;soru-cozum;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 19:00;19:00;okul;20:30;21:30;19:30;#lgs2027 #lgs #türkçe #konuanlatımı #eğitimkoçluğu;#lgs2027 #lgs #türkçe #konuanlatımı #keşfet;#lgs2027 #türkçe #Shorts;81;75
2027-03-31;Çar;Aynı Hafta;;Net takıldı;3 haftadır netim aynı. Artmıyor.;öğrenci;yazisma;;kesin;Bahar ve 100 gün;Işık artıyor, bayram ve 100 gün eşiği. Tempo artar.;gün batımı 19:00;19:00;okul;20:30;21:30;19:30;#yks2027 #yks #sınavkaygısı #öğrenci #eğitimkoçluğu;#yks2027 #yks #sınavkaygısı #öğrenci #keşfet;#yks2027 #sınavkaygısı #Shorts;80;74
2027-04-01;Per;Veli Köşesi;;Deneme maliyeti;Her hafta deneme almak şart mı?;veli;kart-veli;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:01;19:01;veli;21:00;20:30;20:00;#yks2027 #lgs #anneyiz #mersin #eğitimkoçluğu;#yks2027 #lgs #anneyiz #mersin #keşfet;#yks2027 #anneyiz #Shorts;79;73
2027-04-02;Cum;Doğru Bilinen Yanlışlar;;Son ay her şeyi değiştirir;‘Son ay asılırım.’ Son ay tekrar içindir.;öğrenci;efsane-gercek;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:02;19:02;okul;20:30;21:30;19:30;#yks2027 #yks #bilgi #verimliçalışma #eğitimkoçluğu;#yks2027 #yks #bilgi #verimliçalışma #keşfet;#yks2027 #bilgi #Shorts;78;72
2027-04-03;Cmt;Deneme Günü;;Sınav provası;Bu cumartesi gerçek sınav saatinde başla: 10.15.;öğrenci;kart-liste;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:03;19:03;cumartesi;13:00;14:30;12:30;#yks2027 #yks #denemeanalizi #türkiyegenelideneme #eğitimkoçluğu;#yks2027 #yks #denemeanalizi #türkiyegenelideneme #keşfet;#yks2027 #denemeanalizi #Shorts;77;71
2027-04-04;Paz;Pazar Akşamı;;Bahar huzursuzluğu;Hava güzelleşince dışarısı çağırır. 1 saat git, dön.;öğrenci;tek-cumle;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:04;19:04;pazar;20:00;21:00;19:00;#yks2027 #yks #yksmotivasyon #psikoloji #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #psikoloji #keşfet;#yks2027 #yksmotivasyon #Shorts;76;70
2027-04-05;Pzt;Haftanın Planı;;Konu bitirme yanılgısı;Konu bitmez. Soru çözdükçe biter.;öğrenci;kart-liste;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:05;19:05;okul;20:30;21:30;19:30;#yks2027 #yks #zamanyönetimi #dersprogramı #eğitimkoçluğu;#yks2027 #yks #zamanyönetimi #dersprogramı #keşfet;#yks2027 #zamanyönetimi #Shorts;75;69
2027-04-06;Sal;Ders Taktiği;Fizik;Elektrikte eşdeğer direnç;Devreyi yeniden çiz. Karışık devre sadeleşir.;öğrenci;soru-cozum;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:06;19:06;okul;20:30;21:30;19:30;#yks2027 #yks #fizik #sorubankası #eğitimkoçluğu;#yks2027 #yks #fizik #sorubankası #keşfet;#yks2027 #fizik #Shorts;74;68
2027-04-07;Çar;Aynı Hafta;;Bahar yorgunluğu;Hava ısındı, masaya oturmak işkence.;öğrenci;yazisma;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:06;19:06;okul;20:30;21:30;19:30;#yks2027 #yks #öğrenci #öğrencihayatı #eğitimkoçluğu;#yks2027 #yks #öğrenci #öğrencihayatı #keşfet;#yks2027 #öğrenci #Shorts;73;67
2027-04-08;Per;Veli Köşesi;;Kardeşler;Sınava hazırlanan çocuk ve küçük kardeş: evde denge.;veli;kart-veli;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:07;19:07;veli;21:00;20:30;20:00;#yks2027 #lgs #velirehberi #mersin #eğitimkoçluğu;#yks2027 #lgs #velirehberi #mersin #keşfet;#yks2027 #velirehberi #Shorts;72;66
2027-04-09;Cum;Doğru Bilinen Yanlışlar;;Matematik kafası;‘Benim matematik kafam yok.’ Kafası yok, tekrarı yok.;öğrenci;efsane-gercek;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:08;19:08;okul;20:30;21:30;19:30;#yks2027 #yks #verimliçalışma #dersçalışma #eğitimkoçluğu;#yks2027 #yks #verimliçalışma #dersçalışma #keşfet;#yks2027 #verimliçalışma #Shorts;71;65
2027-04-10;Cmt;Deneme Günü;;Deneme sonucu paylaşmak;Netini herkese söylemek zorunda değilsin.;öğrenci;kart-liste;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:09;19:09;cumartesi;13:00;14:30;12:30;#yks2027 #yks #türkiyegenelideneme #denemesınavı #eğitimkoçluğu;#yks2027 #yks #türkiyegenelideneme #denemesınavı #keşfet;#yks2027 #türkiyegenelideneme #Shorts;70;64
2027-04-11;Paz;Pazar Akşamı;;Sınav yaklaşırken;Sınav yaklaştıkça zaman hızlanır gibi olur. Aynı hızda.;öğrenci;tek-cumle;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:10;19:10;pazar;20:00;21:00;19:00;#yks2027 #yks #psikoloji #motivasyon #eğitimkoçluğu;#yks2027 #yks #psikoloji #motivasyon #keşfet;#yks2027 #psikoloji #Shorts;69;63
2027-04-12;Pzt;Haftanın Planı;;Haftalık net hedefi;Bu hafta +1 net. Sadece bir. Ama gerçek.;öğrenci;kart-liste;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:11;19:11;okul;20:30;21:30;19:30;#yks2027 #yks #dersprogramı #verimliçalışma #eğitimkoçluğu;#yks2027 #yks #dersprogramı #verimliçalışma #keşfet;#yks2027 #dersprogramı #Shorts;68;62
2027-04-13;Sal;Ders Taktiği;Kimya;Tepkime denkleştirme;Önce en karmaşık molekülden başla.;öğrenci;soru-cozum;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:12;19:12;okul;20:30;21:30;19:30;#yks2027 #yks #kimya #soruçözümü #eğitimkoçluğu;#yks2027 #yks #kimya #soruçözümü #keşfet;#yks2027 #kimya #Shorts;67;61
2027-04-14;Çar;Aynı Hafta;;Kıyaslanmak;Babam kuzenimle kıyaslıyor.;öğrenci;yazisma;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:12;19:12;okul;20:30;21:30;19:30;#yks2027 #yks #öğrencihayatı #sınavstresi #eğitimkoçluğu;#yks2027 #yks #öğrencihayatı #sınavstresi #keşfet;#yks2027 #öğrencihayatı #Shorts;66;60
2027-04-15;Per;Veli Köşesi;;Övgü;‘Aferin, zekisin’ yerine ‘aferin, çalıştın’.;veli;kart-veli;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:13;19:13;veli;21:00;20:30;20:00;#yks2027 #lgs #veli #mersin #eğitimkoçluğu;#yks2027 #lgs #veli #mersin #keşfet;#yks2027 #veli #Shorts;65;59
2027-04-16;Cum;Doğru Bilinen Yanlışlar;;Herkes 14 saat çalışıyor;Sosyal medyadaki masa fotoğrafı gerçek bir gün değil.;öğrenci;efsane-gercek;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:14;19:14;okul;20:30;21:30;19:30;#yks2027 #yks #dersçalışma #doğrubilinenyanlışlar #eğitimkoçluğu;#yks2027 #yks #dersçalışma #doğrubilinenyanlışlar #keşfet;#yks2027 #dersçalışma #Shorts;64;58
2027-04-17;Cmt;Deneme Günü;;Yorgun deneme;Yorgunken çözülen deneme, yorgunluğu ölçer.;öğrenci;kart-liste;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:15;19:15;cumartesi;13:00;14:30;12:30;#yks2027 #yks #denemesınavı #netartırma #eğitimkoçluğu;#yks2027 #yks #denemesınavı #netartırma #keşfet;#yks2027 #denemesınavı #Shorts;63;57
2027-04-18;Paz;Pazar Akşamı;;Gurur;Kendinle gurur duyduğun bir şey söyle.;öğrenci;tek-cumle;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:16;19:16;pazar;20:00;21:00;19:00;#yks2027 #yks #motivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #motivasyon #sınavkaygısı #keşfet;#yks2027 #motivasyon #Shorts;62;56
2027-04-19;Pzt;Haftanın Planı;;Ders geçişleri;Sayısaldan sonra sözel: beyin dinlenir, sen çalışırsın.;öğrenci;kart-liste;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:17;19:17;okul;20:30;21:30;19:30;#yks2027 #yks #verimliçalışma #çalışmaplanı #eğitimkoçluğu;#yks2027 #yks #verimliçalışma #çalışmaplanı #keşfet;#yks2027 #verimliçalışma #Shorts;61;55
2027-04-20;Sal;Ders Taktiği;Biyoloji;Kalıtımda çaprazlama;Çaprazlamada tablo kur, tahmin yürütme.;öğrenci;soru-cozum;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:18;19:18;okul;20:30;21:30;19:30;#yks2027 #yks #biyoloji #derstaktikleri #eğitimkoçluğu;#yks2027 #yks #biyoloji #derstaktikleri #keşfet;#yks2027 #biyoloji #Shorts;60;54
2027-04-21;Çar;Aynı Hafta;;Her şeyi bıraktım;Futbolu bıraktım, yine de yetmiyor.;öğrenci;yazisma;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:18;19:18;okul;20:30;21:30;19:30;#yks2027 #yks #sınavstresi #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #sınavstresi #yksmotivasyon #keşfet;#yks2027 #sınavstresi #Shorts;59;53
2027-04-22;Per;Veli Köşesi;;Sessizlik;Çocuğunuz konuşmuyorsa, sorunu sorularla değil zamanla açın.;veli;kart-veli;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:19;19:19;veli;21:00;20:30;20:00;#yks2027 #lgs #sınavyılı #mersin #eğitimkoçluğu;#yks2027 #lgs #sınavyılı #mersin #keşfet;#yks2027 #sınavyılı #Shorts;58;52
2027-04-23;Cum;Özel Gün;;23 Nisan;23 Nisan kutlu olsun. LGS'ye hazırlanan çocuklarımıza.;herkes;tek-cumle;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:20;19:20;tatil;21:30;22:30;20:30;#yks2027 #yks #yks #motivasyon #eğitimkoçluğu;#yks2027 #yks #yks #motivasyon #keşfet;#yks2027 #yks #Shorts;57;51
2027-04-24;Cmt;Deneme Günü;;Kalem ve silgi;Sınav günü hangi kalemi kullanacağını bugünden seç.;öğrenci;kart-liste;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:21;19:21;cumartesi;13:00;14:30;12:30;#yks2027 #yks #netartırma #tytdeneme #eğitimkoçluğu;#yks2027 #yks #netartırma #tytdeneme #keşfet;#yks2027 #netartırma #Shorts;56;50
2027-04-25;Paz;Pazar Akşamı;;Karşılaştırma tuzağı;Sosyal medyadaki masa, gerçek hayat değil.;öğrenci;tek-cumle;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:22;19:22;pazar;20:00;21:00;19:00;#yks2027 #yks #sınavkaygısı #pazarakşamı #eğitimkoçluğu;#yks2027 #yks #sınavkaygısı #pazarakşamı #keşfet;#yks2027 #sınavkaygısı #Shorts;55;49
2027-04-26;Pzt;Haftanın Planı;;Uyku saati planın parçası;Uyku saatin yoksa, planın da yok.;öğrenci;kart-liste;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:23;19:23;okul;20:30;21:30;19:30;#yks2027 #yks #çalışmaplanı #planlıçalışma #eğitimkoçluğu;#yks2027 #yks #çalışmaplanı #planlıçalışma #keşfet;#yks2027 #çalışmaplanı #Shorts;54;48
2027-04-27;Sal;Ders Taktiği;Coğrafya;İklim grafikleri;İklim grafiğinde önce yağış rejimine bak.;öğrenci;soru-cozum;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:24;19:24;okul;20:30;21:30;19:30;#yks2027 #yks #coğrafya #tytkampı #eğitimkoçluğu;#yks2027 #yks #coğrafya #tytkampı #keşfet;#yks2027 #coğrafya #Shorts;53;47
2027-04-28;Çar;Aynı Hafta;;Soru çözerken dalıyorum;Soruya bakıyorum, aklım başka yerde.;öğrenci;yazisma;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:25;19:25;okul;20:30;21:30;19:30;#yks2027 #yks #yksmotivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #sınavkaygısı #keşfet;#yks2027 #yksmotivasyon #Shorts;52;46
2027-04-29;Per;Veli Köşesi;;Koçluk nedir;Koç ders anlatmaz. Peki ne yapar?;veli;kart-veli;;kesin;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:25;19:25;veli;21:00;20:30;20:00;#yks2027 #lgs #ebeveyn #mersin #eğitimkoçluğu;#yks2027 #lgs #ebeveyn #mersin #keşfet;#yks2027 #ebeveyn #Shorts;51;45
2027-04-30;Cum;Özel Gün;;YKS'ye 50 gün;50 gün. Her gün bir deneme değil, her gün bir analiz.;öğrenci;tek-cumle;;tahmini;Bahar yorgunluğu;Hava güzel, masa zor. Net platosu. Sabır tonu.;gün batımı 19:26;19:26;okul;20:30;21:30;19:30;#yks2027 #yks #motivasyon #eğitim #eğitimkoçluğu;#yks2027 #yks #motivasyon #eğitim #keşfet;#yks2027 #motivasyon #Shorts;50;44
2027-05-01;Cmt;Deneme Günü;;Son denemeler;Son 3 deneme: yeni bir şey deneme.;öğrenci;kart-liste;;kesin;Son düzlük;Panik ve yoğunluk. Uzun bayram tatili. Sakinleştirici ton.;gün batımı 19:27;19:27;tatil;21:30;22:30;20:30;#yks2027 #yks #tytdeneme #denemeanalizi #eğitimkoçluğu;#yks2027 #yks #tytdeneme #denemeanalizi #keşfet;#yks2027 #tytdeneme #Shorts;49;43
2027-05-02;Paz;Pazar Akşamı;;Sabır;Net artışı merdiven değil, rampa. Önce düz gider.;öğrenci;tek-cumle;;kesin;Son düzlük;Panik ve yoğunluk. Uzun bayram tatili. Sakinleştirici ton.;gün batımı 19:28;19:28;pazar;20:00;21:00;19:00;#yks2027 #yks #pazarakşamı #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #pazarakşamı #yksmotivasyon #keşfet;#yks2027 #pazarakşamı #Shorts;48;42
2027-05-03;Pzt;Haftanın Planı;;Çalışma yerini değiştir;Hep yatakta mı çalışıyorsun? Sorun orada olabilir.;öğrenci;kart-liste;;kesin;Son düzlük;Panik ve yoğunluk. Uzun bayram tatili. Sakinleştirici ton.;gün batımı 19:29;19:29;okul;20:30;21:30;19:30;#yks2027 #yks #planlıçalışma #zamanyönetimi #eğitimkoçluğu;#yks2027 #yks #planlıçalışma #zamanyönetimi #keşfet;#yks2027 #planlıçalışma #Shorts;47;41
2027-05-04;Sal;Ders Taktiği;TYT Türkçe;Sözcükte anlam;Sözcüğü cümleden çıkar, yerine başka kelime koy.;öğrenci;soru-cozum;;kesin;Son düzlük;Panik ve yoğunluk. Uzun bayram tatili. Sakinleştirici ton.;gün batımı 19:30;19:30;okul;20:30;21:30;19:30;#yks2027 #yks #türkçe #konuanlatımı #eğitimkoçluğu;#yks2027 #yks #türkçe #konuanlatımı #keşfet;#yks2027 #türkçe #Shorts;46;40
2027-05-05;Çar;Aynı Hafta;;Sabah kalkamıyorum;Alarmı 5 kere erteliyorum.;öğrenci;yazisma;;kesin;Son düzlük;Panik ve yoğunluk. Uzun bayram tatili. Sakinleştirici ton.;uzun gün (19:31);19:31;okul;20:30;21:30;19:30;#yks2027 #yks #sınavkaygısı #öğrenci #eğitimkoçluğu;#yks2027 #yks #sınavkaygısı #öğrenci #keşfet;#yks2027 #sınavkaygısı #Shorts;45;39
2027-05-06;Per;Veli Köşesi;;Uzun hafta sonu;Bayram tatili: 9 günü bölmek.;veli;kart-veli;;kesin;Son düzlük;Panik ve yoğunluk. Uzun bayram tatili. Sakinleştirici ton.;uzun gün (19:32);19:32;veli;21:00;20:30;20:00;#yks2027 #lgs #anneyiz #mersin #eğitimkoçluğu;#yks2027 #lgs #anneyiz #mersin #keşfet;#yks2027 #anneyiz #Shorts;44;38
2027-05-07;Cum;Doğru Bilinen Yanlışlar;;Son hafta yeni konu;Son hafta yeni konu açmak paniği büyütür.;öğrenci;efsane-gercek;;kesin;Son düzlük;Panik ve yoğunluk. Uzun bayram tatili. Sakinleştirici ton.;uzun gün (19:32);19:32;okul;20:30;21:30;19:30;#yks2027 #yks #bilgi #verimliçalışma #eğitimkoçluğu;#yks2027 #yks #bilgi #verimliçalışma #keşfet;#yks2027 #bilgi #Shorts;43;37
2027-05-08;Cmt;Deneme Günü;;Soru atlama cesareti;Bu denemede 3 soru bilerek atla. Süre ne oldu, bak.;öğrenci;kart-liste;;kesin;Son düzlük;Panik ve yoğunluk. Uzun bayram tatili. Sakinleştirici ton.;uzun gün (19:33);19:33;cumartesi;13:00;14:30;12:30;#yks2027 #yks #denemeanalizi #türkiyegenelideneme #eğitimkoçluğu;#yks2027 #yks #denemeanalizi #türkiyegenelideneme #keşfet;#yks2027 #denemeanalizi #Shorts;42;36
2027-05-09;Paz;Özel Gün;;Anneler Günü;Sınav yılının görünmeyen koçu: anneler.;herkes;tek-cumle;;kesin;Son düzlük;Panik ve yoğunluk. Uzun bayram tatili. Sakinleştirici ton.;uzun gün (19:34);19:34;pazar;20:00;21:00;19:00;#yks2027 #yks #eğitim #öğrenci #eğitimkoçluğu;#yks2027 #yks #eğitim #öğrenci #keşfet;#yks2027 #eğitim #Shorts;41;35
